subject,my_mac,their_mac,rssi,local_time
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-94,1683309139
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-96,1683309139
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-92,1683309169
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-87,1683309169
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683309199
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683309199
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-94,1683309229
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-93,1683309229
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-77,1683309229
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-91,1683309259
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683309259
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-82,1683309259
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683309259
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683309289
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-83,1683309289
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683309320
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-95,1683309320
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-91,1683309350
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-91,1683309380
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-90,1683309410
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-89,1683309440
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-87,1683309440
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-92,1683309471
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-91,1683309471
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-97,1683309501
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-86,1683309531
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-99,1683309531
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-91,1683309591
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-97,1683309591
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-87,1683309652
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-95,1683309743
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683309773
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-91,1683309773
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683309804
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-96,1683309834
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-98,1683309834
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-94,1683309864
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683309955
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-94,1683310136
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-94,1683310166
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-96,1683310197
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683310287
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683310318
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-94,1683310348
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-98,1683310409
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-91,1683310560
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-88,1683310591
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683310621
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-94,1683310682
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-98,1683310712
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683310773
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-90,1683310803
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683310833
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-87,1683310863
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-87,1683310894
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-94,1683310954
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683311045
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-87,1683311106
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-90,1683311136
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-93,1683311166
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683311197
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683311227
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-94,1683311257
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-93,1683311287
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683311317
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-89,1683311317
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-94,1683311347
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-91,1683311347
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-94,1683311377
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-89,1683311408
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-88,1683311498
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683311529
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-96,1683311589
