subject,my_mac,their_mac,rssi,local_time
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-89,1683292017
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-99,1683292017
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-85,1683292047
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-99,1683292047
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-93,1683292078
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-97,1683292078
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-91,1683292078
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-92,1683292108
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-94,1683292108
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683292108
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-80,1683292138
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-95,1683292138
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-93,1683292138
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-82,1683292138
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-92,1683292168
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-95,1683292168
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683292168
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-92,1683292168
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-93,1683292198
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-89,1683292198
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-88,1683292198
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-95,1683292198
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-100,1683292198
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:9D,-91,1683292198
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-88,1683292228
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-96,1683292228
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-91,1683292228
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:E7,-99,1683292228
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-95,1683292228
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-94,1683292228
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-92,1683292258
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:E7,-94,1683292258
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-91,1683292258
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-97,1683292258
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-95,1683292258
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-99,1683292258
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-67,1683292258
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:E7,-96,1683292289
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-87,1683292289
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-94,1683292289
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A9,-98,1683292289
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-96,1683292289
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:9D,-89,1683292289
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-89,1683292289
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-65,1683292289
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-83,1683292319
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-88,1683292319
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-87,1683292319
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:9D,-91,1683292319
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-62,1683292319
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-97,1683292349
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-85,1683292349
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-80,1683292349
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-96,1683292380
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:9D,-89,1683292380
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-90,1683292380
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-95,1683292410
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-96,1683292410
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:E7,-97,1683292410
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-96,1683292410
